names,scores,logfoldchanges,pvals,pvals_adj,cluster
Chil3,268.36984,6.8475914,0.0,0.0,18
Cd68,245.3619,4.6962013,0.0,0.0,18
Atp6v0d2,239.57394,6.5611887,0.0,0.0,18
Sirpa,235.6972,3.747177,0.0,0.0,18
Itgb2,226.07573,4.0932183,0.0,0.0,18
Lpl,215.0092,3.8952858,0.0,0.0,18
Grn,205.57257,2.709756,0.0,0.0,18
Gpnmb,191.22029,6.1303315,0.0,0.0,18
Plin2,178.09602,3.0865295,0.0,0.0,18
Cybb,174.87457,3.922957,0.0,0.0,18
Hexa,161.75293,3.0064747,0.0,0.0,18
Cd84,157.75226,2.9813294,0.0,0.0,18
Gm2a,154.859,2.1988947,0.0,0.0,18
Lamp1,149.43951,1.5801162,0.0,0.0,18
Syk,146.04483,2.6006057,0.0,0.0,18
Axl,145.62761,2.2836154,0.0,0.0,18
Lrp1,138.7779,1.5875285,0.0,0.0,18
Ctsk,133.25153,5.1921744,0.0,0.0,18
Cd9,130.26906,2.3857403,0.0,0.0,18
Cd53,130.22437,2.7146988,0.0,0.0,18
Fn1,176.38004,2.6359923,0.0,0.0,12
Gm2a,130.07195,2.4629755,0.0,0.0,12
Arg1,107.173744,5.2937846,0.0,0.0,12
Sirpa,105.07836,2.3397608,0.0,0.0,12
Grn,102.95941,1.867289,0.0,0.0,12
Fcgr2b,101.467735,3.7754002,0.0,0.0,12
Cxcl16,91.86325,2.0177128,0.0,0.0,12
Prkcd,90.58419,2.0058138,0.0,0.0,12
Fcgr3,90.18524,3.0416214,0.0,0.0,12
Csf1r,89.863266,2.9449055,0.0,0.0,12
Il10ra,83.552,2.640409,0.0,0.0,12
Ccr5,81.52015,3.5054898,0.0,0.0,12
Ccr1,79.85583,3.3143525,0.0,0.0,12
Aif1,78.96283,2.744623,0.0,0.0,12
Bcl2a1a,73.84813,2.5391958,0.0,0.0,12
Cd68,73.78156,2.0683036,0.0,0.0,12
Arrb2,73.70438,2.0872147,0.0,0.0,12
Ncf1,73.15832,2.3781223,0.0,0.0,12
Itgb2,71.752625,2.031616,0.0,0.0,12
Thbs1,70.29752,1.9851006,0.0,0.0,12
Col4a1,164.31392,2.6715193,0.0,0.0,10
Pdgfrb,161.39479,3.7059438,0.0,0.0,10
Col4a2,159.28407,2.615115,0.0,0.0,10
Col1a1,148.58336,2.697674,0.0,0.0,10
Col1a2,138.44292,2.298773,0.0,0.0,10
Fn1,129.43997,1.9881276,0.0,0.0,10
Mcam,128.22385,2.8095548,0.0,0.0,10
Fstl1,126.634254,2.4736314,0.0,0.0,10
Col6a3,115.95404,3.126723,0.0,0.0,10
Fbn1,109.71438,2.4547424,0.0,0.0,10
Eln,96.99442,2.0121684,0.0,0.0,10
Col18a1,94.41375,2.3887823,0.0,0.0,10
Notch3,89.37928,3.5594757,0.0,0.0,10
Tbx2,88.98007,2.2576218,0.0,0.0,10
Serpine2,87.871315,2.5512645,0.0,0.0,10
Nid1,85.4642,2.248181,0.0,0.0,10
Gucy1a1,84.741356,2.4997153,0.0,0.0,10
Mprip,82.38078,1.0336434,0.0,0.0,10
Nedd4,79.93729,1.1177925,0.0,0.0,10
Postn,78.97722,3.1929173,0.0,0.0,10
Egfl7,182.16623,2.4638803,0.0,0.0,2
Col4a1,173.35379,2.4624696,0.0,0.0,2
Cdh5,159.75931,2.185285,0.0,0.0,2
Col4a2,152.619,2.1999764,0.0,0.0,2
Pecam1,137.69208,1.9122077,0.0,0.0,2
Plvap,137.17404,2.586495,0.0,0.0,2
Mcam,125.191216,2.485345,0.0,0.0,2
S1pr1,101.09536,1.6637886,0.0,0.0,2
Plk2,97.86546,2.2402437,0.0,0.0,2
Cd34,97.33925,2.567065,0.0,0.0,2
Podxl,97.33917,1.4373741,0.0,0.0,2
Aplnr,92.50974,3.3778505,0.0,0.0,2
Eng,92.50478,1.5544709,0.0,0.0,2
Fscn1,91.66066,2.516573,0.0,0.0,2
Kdr,85.43295,2.2640445,0.0,0.0,2
Gnai2,84.09856,1.0407306,0.0,0.0,2
Sox18,78.76559,2.3182719,0.0,0.0,2
Ets2,74.61759,1.6406398,0.0,0.0,2
Igfbp3,74.53257,3.204026,0.0,0.0,2
Cav1,73.5063,0.8461965,0.0,0.0,2
Ptprc,173.19455,2.6163864,0.0,0.0,1
Dock2,133.52719,2.784312,0.0,0.0,1
Gm2a,126.09862,1.7889286,0.0,0.0,1
Lat,119.17832,3.9426057,0.0,0.0,1
Arhgef1,110.98265,1.5228432,0.0,0.0,1
Selplg,107.068954,2.622755,0.0,0.0,1
Itgb7,105.22835,3.557377,0.0,0.0,1
Grk2,100.417786,1.4244066,0.0,0.0,1
Tcf7,100.03789,3.0970109,0.0,0.0,1
Mbnl1,93.97251,1.2125624,0.0,0.0,1
Cd3d,91.083084,3.9817085,0.0,0.0,1
Myh9,89.02344,0.8499185,0.0,0.0,1
Itga4,86.79851,2.6975577,0.0,0.0,1
Il7r,85.67471,3.5310416,0.0,0.0,1
Hnrnpa1,84.77531,0.8123605,0.0,0.0,1
Cd53,81.86397,1.95754,0.0,0.0,1
Il10ra,80.31136,2.0960498,0.0,0.0,1
Bcl2a1a,80.02502,2.2823384,0.0,0.0,1
Actr2,79.96496,1.0031146,0.0,0.0,1
Lck,79.45827,3.8723903,0.0,0.0,1
Gucy1a1,232.65306,5.438124,0.0,0.0,32
Pdgfrb,217.83493,4.56127,0.0,0.0,32
Epas1,142.37611,1.5909393,0.0,0.0,32
Tbx2,141.59177,3.3398345,0.0,0.0,32
Lipg,131.48335,5.5415497,0.0,0.0,32
Mcam,128.50786,2.879239,0.0,0.0,32
Postn,126.882385,4.545178,0.0,0.0,32
Notch3,124.45679,4.6298714,0.0,0.0,32
Itga1,123.34615,2.8353117,0.0,0.0,32
Col4a2,114.99945,1.9343157,0.0,0.0,32
Tbx5,107.922935,4.031234,0.0,0.0,32
Tbx4,102.524475,3.218198,0.0,0.0,32
Col4a1,95.94016,1.6571076,0.0,0.0,32
Sept4,93.32186,2.2711508,0.0,0.0,32
Marcks,91.6807,1.5813898,0.0,0.0,32
Mapt,84.15917,2.9289954,0.0,0.0,32
F2r,84.01446,2.710907,0.0,0.0,32
Trpc6,82.08155,4.9716144,0.0,0.0,32
Cdkn1c,80.88825,4.139303,0.0,0.0,32
Eng,71.61417,1.4995253,0.0,0.0,32
Col1a2,342.3732,4.1034794,0.0,0.0,29
Col1a1,328.56827,4.2361193,0.0,0.0,29
Fn1,302.92786,3.2493904,0.0,0.0,29
Fstl1,278.00833,3.6572835,0.0,0.0,29
Fbn1,221.50856,3.2251453,0.0,0.0,29
Col6a2,214.32323,2.997598,0.0,0.0,29
Eln,204.70316,3.0787156,0.0,0.0,29
Thbs1,197.18634,2.9392407,0.0,0.0,29
Lrp1,185.98625,1.8907796,0.0,0.0,29
Rbp1,177.95845,2.396502,0.0,0.0,29
Fzd1,172.39279,3.2358508,0.0,0.0,29
Mmp14,170.93738,2.431587,0.0,0.0,29
Bmp1,164.48563,2.6867769,0.0,0.0,29
Col4a2,155.66739,1.6251577,0.0,0.0,29
Col4a1,155.20007,1.6022215,0.0,0.0,29
Col6a3,146.98997,2.739921,0.0,0.0,29
Pdgfrb,146.84528,2.3218846,0.0,0.0,29
Tagln,141.59396,2.6060302,0.0,0.0,29
Col5a1,138.49017,3.809999,0.0,0.0,29
Aldh1a2,136.89517,4.232656,0.0,0.0,29
Igkc,272.39108,7.4423556,0.0,0.0,27
Igha,244.68115,7.403239,0.0,0.0,27
Jchain,237.44838,9.260722,0.0,0.0,27
C3,73.90511,1.6965345,0.0,0.0,27
Mzb1,71.16611,6.1469097,0.0,0.0,27
C4b,68.74041,2.236604,0.0,0.0,27
Irf4,60.991962,4.281404,0.0,0.0,27
Tent5c,60.4539,3.9672751,0.0,0.0,27
Serpina3n,58.594273,1.5782996,0.0,0.0,27
Pou2af1,55.173496,4.4949703,0.0,0.0,27
Col1a2,54.496494,1.1121281,0.0,0.0,27
Cxcl12,53.183567,1.0742975,0.0,0.0,27
Hspa5,51.90443,0.96576697,0.0,0.0,27
Blnk,43.71438,2.883355,0.0,0.0,27
Sel1l,41.67598,1.5183724,0.0,0.0,27
Cd79b,41.60654,2.2074475,0.0,0.0,27
Cyfip2,40.58907,2.1065283,0.0,0.0,27
Col1a1,38.81549,0.9219508,0.0,0.0,27
Ighm,38.738106,2.015594,0.0,0.0,27
Cd79a,34.737606,2.5758011,2.132613893054407e-264,1.955025317960058e-262,27
Cd24a,250.08282,3.2976584,0.0,0.0,6
Ldhb,203.56244,4.6301327,0.0,0.0,6
Emc6,203.24728,2.2279212,0.0,0.0,6
